#,Country,Gun Death Rate,Deaths by Firearms,Suicides by Firearms,Accidental Deaths by Firearms
167,Maldives,0.15 per 100k,1,0.1 per 100k,0.04 per 100k
168,New Zealand,0.15 per 100k,7,0.87 per 100k,0.06 per 100k
169,Austria,0.13 per 100k,13,2.47 per 100k,0.04 per 100k
170,Qatar,0.13 per 100k,4,0.05 per 100k,0.07 per 100k
171,Spain,0.13 per 100k,70,0.45 per 100k,0.06 per 100k
172,North Korea,0.12 per 100k,36,0.11 per 100k,0.11 per 100k
173,Vietnam,0.12 per 100k,128,0.15 per 100k,0.24 per 100k
174,Taiwan,0.11 per 100k,30,0.07 per 100k,0.02 per 100k
175,Bhutan,0.1 per 100k,1,0.17 per 100k,0.25 per 100k
176,Nepal,0.1 per 100k,30,0.43 per 100k,0.1 per 100k
177,Monaco,0.09 per 100k,0,2.64 per 100k,0.05 per 100k
178,Andorra,0.08 per 100k,0,0.6 per 100k,0.02 per 100k
179,Germany,0.08 per 100k,84,1.06 per 100k,0.04 per 100k
180,Poland,0.08 per 100k,35,0.15 per 100k,0.04 per 100k
181,San Marino,0.08 per 100k,0,4.08 per 100k,0.04 per 100k
182,Uzbekistan,0.08 per 100k,29,0.05 per 100k,0.04 per 100k
183,Brunei,0.07 per 100k,0,0.05 per 100k,0.01 per 100k
184,Hungary,0.07 per 100k,7,0.48 per 100k,0.03 per 100k
185,Norway,0.07 per 100k,4,1.35 per 100k,0.02 per 100k
186,Iceland,0.06 per 100k,0,1.12 per 100k,0.03 per 100k
187,Indonesia,0.06 per 100k,153,0.06 per 100k,0.05 per 100k
188,Romania,0.06 per 100k,13,0.06 per 100k,0.04 per 100k
189,United Kingdom,0.04 per 100k,27,0.17 per 100k,0.03 per 100k
190,Oman,0.03 per 100k,1,0.04 per 100k,0.01 per 100k
191,Japan,0.02 per 100k,27,0.04 per 100k,0.02 per 100k
192,People's Republic of China,0.02 per 100k,334,0.03 per 100k,0.02 per 100k
193,South Korea,0.02 per 100k,13,0.04 per 100k,0.01 per 100k
194,Singapore,0.01 per 100k,1,0.02 per 100k,0.01 per 100k
