#,Country,Stabbing Death Rate,Murder Rate,Female Homicide Rate,Gun Death Rate
127,Serbia,0.48 per 100k,1.02 per 100k,0.52 per 100k,0.82 per 100k
128,Sierra Leone,0.48 per 100k,,,0.5 per 100k
129,Malaysia,0.47 per 100k,,,0.35 per 100k
130,Jordan,0.45 per 100k,1.2 per 100k,0.54 per 100k,1.51 per 100k
131,Slovakia,0.45 per 100k,1.15 per 100k,1 per 100k,0.25 per 100k
132,Malawi,0.44 per 100k,,,0.62 per 100k
133,Hungary,0.41 per 100k,0.83 per 100k,0.77 per 100k,0.07 per 100k
134,Indonesia,0.41 per 100k,,,0.06 per 100k
135,Morocco,0.4 per 100k,1.24 per 100k,0.45 per 100k,0.46 per 100k
136,New Zealand,0.4 per 100k,,,0.15 per 100k
137,Palestine,0.4 per 100k,0.94 per 100k,0.56 per 100k,5.01 per 100k
138,Burundi,0.39 per 100k,,,0.28 per 100k
139,Luxembourg,0.39 per 100k,0.16 per 100k,0 per 100k,0.21 per 100k
140,Kuwait,0.37 per 100k,,,0.28 per 100k
141,Belgium,0.36 per 100k,,,0.34 per 100k
142,Spain,0.36 per 100k,0.64 per 100k,0.5 per 100k,0.13 per 100k
143,Bosnia and Herzegovina,0.35 per 100k,1.31 per 100k,0.3 per 100k,0.26 per 100k
144,Croatia,0.35 per 100k,0.97 per 100k,0.89 per 100k,0.34 per 100k
145,Sweden,0.35 per 100k,1.23 per 100k,0.5 per 100k,0.25 per 100k
146,Fiji,0.34 per 100k,2.23 per 100k,,0.16 per 100k
147,Greece,0.34 per 100k,0.75 per 100k,0.36 per 100k,0.35 per 100k
148,Yemen,0.34 per 100k,,,0.83 per 100k
149,Czech Republic,0.32 per 100k,0.72 per 100k,0.72 per 100k,0.15 per 100k
150,Montenegro,0.32 per 100k,2.87 per 100k,0.94 per 100k,0.99 per 100k
151,People's Republic of China,0.32 per 100k,,,0.02 per 100k
152,Portugal,0.32 per 100k,0.91 per 100k,,0.4 per 100k
153,Senegal,0.32 per 100k,,,0.44 per 100k
154,Bangladesh,0.31 per 100k,,,0.78 per 100k
155,Malta,0.31 per 100k,1.59 per 100k,0.45 per 100k,0.45 per 100k
156,Nepal,0.31 per 100k,,,0.1 per 100k
157,South Korea,0.31 per 100k,0.6 per 100k,0.54 per 100k,0.02 per 100k
158,Vanuatu,0.31 per 100k,0.33 per 100k,0.66 per 100k,0.17 per 100k
159,Albania,0.29 per 100k,2.12 per 100k,0.64 per 100k,1.39 per 100k
160,Cyprus,0.29 per 100k,1.24 per 100k,0.66 per 100k,0.51 per 100k
161,Republic of Macedonia,0.28 per 100k,,,0.98 per 100k
162,Taiwan,0.28 per 100k,,,0.11 per 100k
163,Libya,0.25 per 100k,,,0.59 per 100k
164,Netherlands,0.25 per 100k,0.62 per 100k,0.51 per 100k,0.23 per 100k
165,Norway,0.25 per 100k,0.57 per 100k,0.56 per 100k,0.07 per 100k
166,Slovenia,0.25 per 100k,0.53 per 100k,0.57 per 100k,0.18 per 100k
167,Germany,0.23 per 100k,0.93 per 100k,0.84 per 100k,0.08 per 100k
168,Iceland,0.23 per 100k,1.47 per 100k,2.36 per 100k,0.06 per 100k
169,Denmark,0.22 per 100k,0.95 per 100k,0.58 per 100k,0.15 per 100k
170,Bahrain,0.2 per 100k,,,0.36 per 100k
171,France,0.2 per 100k,1.35 per 100k,0.71 per 100k,0.32 per 100k
172,Bhutan,0.19 per 100k,2.46 per 100k,1.38 per 100k,0.1 per 100k
173,Italy,0.19 per 100k,0.47 per 100k,0.37 per 100k,0.35 per 100k
174,Sudan,0.19 per 100k,,,0.51 per 100k
175,The Gambia,0.19 per 100k,,,0.24 per 100k
176,Austria,0.18 per 100k,0.72 per 100k,0.81 per 100k,0.13 per 100k
177,Ireland,0.16 per 100k,0.69 per 100k,0.24 per 100k,0.18 per 100k
178,Switzerland,0.16 per 100k,0.54 per 100k,0.62 per 100k,0.18 per 100k
179,Algeria,0.14 per 100k,1.32 per 100k,0.38 per 100k,0.31 per 100k
180,Saudi Arabia,0.14 per 100k,,,0.17 per 100k
181,Andorra,0.12 per 100k,2.59 per 100k,,0.08 per 100k
182,San Marino,0.12 per 100k,,,0.08 per 100k
183,Singapore,0.12 per 100k,0.17 per 100k,0.18 per 100k,0.01 per 100k
184,Iran,0.11 per 100k,,,0.6 per 100k
185,United Arab Emirates,0.1 per 100k,,,0.3 per 100k
186,Egypt,0.09 per 100k,,,0.38 per 100k
187,Japan,0.09 per 100k,0.25 per 100k,0.29 per 100k,0.02 per 100k
188,Monaco,0.08 per 100k,,,0.09 per 100k
189,Oman,0.08 per 100k,0.27 per 100k,0.23 per 100k,0.03 per 100k
190,Tunisia,0.08 per 100k,4.76 per 100k,1.93 per 100k,0.2 per 100k
191,United Kingdom,0.08 per 100k,,,0.04 per 100k
